,Date,ABG-P.MC,ABE.MC,ANA.MC,ACS.MC,AMS.MC,MTS.MC,POP.MC,SAB.MC,SAN.MC,BKIA.MC,BKT.MC,BBVA.MC,BME.MC,CABK.MC,DIA.MC,ENG.MC,ELE.MC,FCC.MC,FER.MC,GAM.MC,GAS.MC,GRF.MC,IAG.MC,IBE.MC,ITX.MC,IDR.MC,JAZ.MC,MAP.MC,TL5.MC,OHL.MC,REE.MC,REP.MC,SCYR.MC,TRE.MC,TEF.MC
0,2007-01-01,7.294835324985875e-05,-0.005988023952095634,-0.013616945532217928,0.00014730853379102272,-0.0008242962727378014,0.0003115800053238496,-0.0030769230769230878,0.0009671472033281146,-0.02414772727272729,0.0034154279643809245,-0.019586507072905324,-0.02709163346613541,-0.00034106690645513464,-4.442882535345987e-05,-0.0004567622814126037,-0.022875816993463968,0.007276507276507305,-0.030794165316045508,-0.011802575107296098,-0.03541147132169575,-0.00020099232123418798,-0.0008397089809930501,-0.0008645992915953817,-0.05400372439478585,0.0,-0.013991163475699508,0.0005459993473746977,-0.042553191489361764,0.00038598462528457636,0.0016420361247948545,0.022151898734177108,-0.016307513104251714,-0.035746812386156616,-0.00044382879024932925,-0.017225747960108784
1,2007-01-02,7.294835324985875e-05,-0.0029850746268657025,0.010977145942055122,-0.0006618133686300265,-0.0008242962727378014,0.042807558812186564,-0.012758201701093652,-0.012499999999999845,0.0,0.0034154279643809245,-0.004333694474539684,-0.009471191791633693,0.003829321663019636,-4.442882535345987e-05,-0.0004567622814126037,0.0,0.004699738903394257,0.006361115641820181,0.015250544662309462,0.010075566750629594,0.0,0.036307053941908585,-0.0008645992915953817,-0.0018587360594795046,0.0,-0.010924981791696986,0.030769230769230882,-0.01673640167364021,-0.00630693763139456,0.006611570247933907,0.0,0.0029205607476636697,0.008959338387318994,0.0008729812309036244,-0.004512635379061436
2,2007-01-03,7.294835324985875e-05,0.0029940119760478727,0.00889615105301389,0.010026737967914423,-0.0008242962727378014,0.028560095200317326,-0.012597480503899305,0.0,-0.005649717514124353,0.0034154279643809245,0.005446623093682046,0.0,0.0,-4.442882535345987e-05,-0.0004567622814126037,0.026642984014209725,-0.004160166406656396,0.009550469290301455,0.016611295681063117,0.008125952260030544,0.0,0.015806111696522684,-0.0008645992915953817,0.0037313432835819342,0.0,0.023099850968703484,0.0,-0.02049180327868849,0.016381766381766468,0.008893829905503027,0.04788029925187032,0.0005844535359440518,-0.0002296738631143436,0.020944741532976874,-0.012477718360071388
3,2007-01-04,7.294835324985875e-05,0.009063444108761145,0.023696682464454888,0.01526976586359008,-0.0008242962727378014,-0.011760094080752627,0.005731523378582404,0.0,0.005681818181818121,0.0034154279643809245,-0.0021739130434782483,0.010366826156299913,-0.003271537622682619,-4.442882535345987e-05,-0.0004567622814126037,-0.005300353356890497,0.00733368255631217,0.0019798713083649666,0.02033898305084736,0.01494845360824759,0.0,-0.017598343685300222,-0.0008645992915953817,0.013232514177693888,0.006024096385542244,0.005243445692883819,0.04838709677419351,-0.05058365758754857,0.015918958031837738,0.0,-0.03093281778637025,0.019058963668850515,0.008570766736159419,0.028414298808432607,-0.006200177147918429
4,2007-01-05,7.294835324985875e-05,-0.008388256440982622,0.001489064681247099,-0.0060708263069140225,-0.0008242962727378014,0.008300395256916948,-0.0048033623536476435,-0.010600706713780994,0.004279600570613384,0.0034154279643809245,0.0,0.0023980815347721678,-0.013978494623655968,-4.442882535345987e-05,-0.0004567622814126037,-0.0026431718061673552,0.002099737532808455,0.003144654088050203,0.0011312217194570096,-0.0241448692152918,0.0,0.018987341772151774,-0.0008645992915953817,0.0,-0.0030030030030030463,-0.009643916913946615,0.050847457627118516,-0.0038759689922481795,0.002175489485134241,-0.03331542181622793,0.0068126520681266465,0.003586371787208442,0.0016241299303945136,-0.01755965781179647,-0.009649122807017685
5,2007-01-08,7.294835324985875e-05,-0.0023909145248056647,-0.013314967860422413,-0.005367326400536721,-0.0008242962727378014,-0.004329004329004293,-0.008335814230425731,-0.005272407732864748,0.0,0.0034154279643809245,-0.009687836383207693,-0.0031872509960160227,-0.024134312696746932,-4.442882535345987e-05,-0.0004567622814126037,-0.009598603839441666,-0.006259780907668322,0.0024888003982079803,-0.02104097452934661,0.026859504132231482,0.0,-0.048192771084337394,-0.0008645992915953817,0.0,0.003012048192771122,-0.005166051660516646,0.0535714285714286,0.0,-0.005050505050505083,-0.0127320954907163,0.006366307541625815,0.018879415347137662,0.013640639698965229,-0.028433945756780377,0.006178287731685828
6,2007-01-09,7.294835324985875e-05,0.010876132930513592,-0.0014670823399962618,0.042307692307692164,-0.0008242962727378014,0.0015766653527788945,0.011137868753762879,0.014260249554367109,0.02186588921282784,0.0034154279643809245,0.014192139737991159,0.012096774193548487,0.010604453870625584,-4.442882535345987e-05,-0.0004567622814126037,0.015057573073516515,-0.028383172833248763,0.0353891084006186,0.014606741573033544,0.028146574614976272,-0.03708987161198296,-0.040462427745664775,-0.0008645992915953817,0.009541984732824416,-0.008955223880597106,0.014221556886227615,-0.05084745762711873,0.02788844621513964,0.0036205648081100157,0.030054644808743317,0.03287809812847753,0.0098400984009841,0.047032750554050866,-0.03949579831932781,0.01980198019801982
7,2007-01-10,7.294835324985875e-05,-0.007198560287942524,-0.02694503925767311,-0.018531228551818768,-0.0008242962727378014,-0.01091617933723188,-0.023228462216994927,-0.00883392226148405,-0.012949640287769792,0.0034154279643809245,0.00659340659340657,-0.016653449643140306,-0.04069175991861651,-4.442882535345987e-05,-0.0004567622814126037,0.004448398576512469,-0.017430278884462025,-0.029186124082721813,-0.005586592178770777,-0.013619696176008445,0.0,-0.034418604651162754,-0.0008645992915953817,-0.009451795841209807,-0.020467836257309857,-0.01836884643644376,0.035087719298245716,-0.007905138339920903,-0.018479033404406486,-0.004352557127312196,-0.0289783889980354,-0.01870850935425461,-0.01718296224588578,-0.0325203252032521,-0.01681415929203556
8,2007-01-11,7.294835324985875e-05,0.0030084235860410318,0.006013822816623327,-0.015540540540540547,-0.0008242962727378014,-0.00465657741559955,-0.0020539906103286265,-0.013937282229965152,0.0014409221902016436,0.0034154279643809245,-0.007633587786259555,-0.01098039215686275,-0.026732673267326645,-4.442882535345987e-05,-0.0004567622814126037,-0.00969162995594708,0.009045226130653285,-0.004482815872488778,-0.012141280353201056,-0.00831168831168827,0.0,0.02870813397129202,-0.0008645992915953817,0.0076190476190476355,0.008849557522123908,0.009643916913946615,-0.01724137931034475,-0.015564202334630406,-0.0014194464158977516,0.0,-0.005859375,0.0012084592145014115,0.0012115338017930632,0.016528925619834878,-0.00702987697715296
9,2007-01-12,7.294835324985875e-05,0.004229607250755274,-0.0028640472567798003,0.011274342330030772,-0.0008242962727378014,-0.021640091116173155,-0.010165553296543785,-0.00692041522491349,-0.002873563218390718,0.0034154279643809245,-0.0010893246187363426,-0.007009345794392496,-0.010289073983341557,-4.442882535345987e-05,-0.0004567622814126037,-0.01046207497820406,0.001006036217303885,-0.02192270217603121,-0.01199563794983638,-0.00977366255144041,0.0,-0.016933207902163794,-0.0008645992915953817,-0.0019011406844106073,0.0,-0.013177159590043952,-0.033333333333333326,0.00390625,0.0,-0.012889366272824998,-0.004859086491739495,-0.007198560287942524,-0.011497005988023834,-0.011033919084593393,-0.0008779631255486643
