Date,ABG-P.MC,ABE.MC,ANA.MC,ACS.MC,AMS.MC,MTS.MC,POP.MC,SAB.MC,SAN.MC,BKIA.MC,BKT.MC,BBVA.MC,BME.MC,CABK.MC,DIA.MC,ENG.MC,ELE.MC,FCC.MC,FER.MC,GAM.MC,GAS.MC,GRF.MC,IAG.MC,IBE.MC,ITX.MC,IDR.MC,JAZ.MC,MAP.MC,TL5.MC,OHL.MC,REE.MC,REP.MC,SCYR.MC,TRE.MC,TEF.MC
2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-02,,0.0060240963855420215,0.013804926463953704,,,,0.0030864197530864335,,0.024745269286754024,,0.019977802441731418,0.027846027846027743,,,,0.02341137123745818,-0.007223942208462342,0.03177257525083621,0.011943539630836053,0.0367114788004137,,,,0.057086614173228245,0.0,0.014189693801344161,,0.04444444444444451,,-0.0016393442622951726,-0.021671826625386914,0.0165778567199526,0.03707201889020073,,0.017527675276752808
2007-01-03,,0.009036144578313143,0.00279707660380768,0.0006622516556291647,,-0.04105029585798814,0.0160493827160495,0.012658227848101111,0.024745269286754024,,0.02441731409544956,0.03767403767403765,-0.003814713896457822,,,0.02341137123745818,-0.011867905056759498,0.025250836120401354,-0.0032573289902281255,0.026370217166494347,0.0,-0.03503503503503502,,0.059055118110236116,0.0,0.025392083644510732,-0.02985074626865669,0.0622222222222224,0.006346967559943462,-0.008196721311475641,-0.021671826625386914,0.013617525162818112,0.027863046044864115,-0.0008722197993894509,0.022140221402214166
2007-01-04,,0.0060240963855420215,-0.006045294595326101,-0.009271523178807861,,-0.0676775147928993,0.029012345679012563,0.012658227848101111,0.03056768558951961,,0.018867924528301883,0.03767403767403765,-0.003814713896457822,,,-0.003147747393271727,-0.007739938080495112,0.01555183946488281,-0.019543973941368198,0.018097207859358866,0.0,-0.05005005005005014,,0.055118110236220375,0.0,0.0022404779686331366,-0.02985074626865669,0.08444444444444454,-0.009873060648801224,-0.01693989071038271,-0.06637411346211364,0.01302545885139117,0.028099173553718826,-0.02136938508504138,0.035055350553505615
2007-01-05,,-0.003012048192771122,-0.029053505368582422,-0.024172185430463622,,-0.05658284023668625,0.023148148148148362,0.012658227848101111,0.0247452692867538,,0.021087680355160954,0.027027027027026973,-0.0005449591280655142,,,0.0021640763328742985,-0.014963880288957454,0.013545150501672154,-0.039087947882736285,0.0031023784901755835,0.0,-0.03303303303303318,,0.04133858267716528,-0.005988023952095856,-0.0029873039581780336,-0.07462686567164167,0.14222222222222225,-0.02538787023977429,-0.01693989071038271,-0.03657258890429593,-0.005920663114268976,0.019362455726091854,-0.04840819886611425,0.04151291512915134
2007-01-08,,0.005421686746987842,-0.030497157809257214,-0.01821192052980125,,-0.06434911242603547,0.02808641975308679,0.02350813743218816,0.020378457059679667,,0.021087680355160954,0.024570024570024662,0.013623978201634745,,,0.0048199881959472,-0.017027863777089536,0.010367892976588466,-0.04017372421281229,0.027921406411582028,0.0,-0.05105105105105112,,0.04133858267716528,-0.0029940119760478723,0.006721433905899854,-0.11940298507462677,0.14666666666666672,-0.027503526093088926,0.016939890710382377,-0.043091672401318615,-0.009473060982830184,0.017709563164108433,-0.03139991277802001,0.05166051660516624
2007-01-09,,0.007831325301204561,-0.01741405756564074,-0.012913907284768156,,-0.06028106508875741,0.03672839506172876,0.028933092224231682,0.020378457059679667,,0.031076581576026552,0.027846027846027965,0.038692098092642846,,,0.014558331693881765,-0.01083591331269329,0.007859531772575146,-0.01954397394136831,0.0010341261633917131,0.0,-0.0030030030030030463,,0.04133858267716528,-0.005988023952095856,0.011949215832710802,-0.16417910447761197,0.14666666666666672,-0.02256699576868826,0.030054644808743092,-0.04914510707712527,-0.027827116637063387,0.004014167650531197,-0.0030527692978631338,0.045202952029520516
2007-01-10,,-0.003012048192771233,-0.015970405124965836,-0.05298013245033095,,-0.06176035502958577,0.0253086419753088,0.014466546112115841,-0.0014556040756913413,,0.01664816870144281,0.015561015561015745,0.027792915531335005,,,-0.0004918355301987143,0.018059855521155965,-0.026588628762541977,-0.03365906623235626,-0.02637021716649457,0.03851851851851862,0.03903903903903916,,0.03149606299212593,0.0029940119760478723,-0.0022404779686335807,-0.11940298507462688,0.11555555555555541,-0.026093088857545688,-1.1102230246251565e-16,-0.07941228045615911,-0.03730017761989346,-0.04108618654073215,0.03794156127344084,0.024907749077490937
2007-01-11,,0.004216867469879482,0.011278534692773068,-0.03509933774834417,,-0.051405325443787064,0.04969135802469138,0.02350813743218816,0.011644832605531397,,0.009988901220865598,0.03276003276003281,0.07138964577656681,,,-0.004918355301986921,0.03611971104231171,0.0026755852842805794,-0.028230184581976348,-0.012926577042399301,0.03851851851851862,0.07607607607607614,,0.04133858267716528,0.023952095808382978,0.016430171769977298,-0.14925373134328357,0.12444444444444436,-0.007757404795486478,0.0043715846994532015,-0.051939000004420754,-0.018946121965660367,-0.024321133412042673,0.07283035324901888,0.042435424354243745
2007-01-12,,0.00120481927710836,0.005233240097446856,-0.01986754966887394,,-0.04696745562130178,0.051851851851851816,0.037974683544304,0.010189228529839944,,0.017758046614872125,0.04422604422604426,0.10081743869209814,,,0.004819988195947422,0.026831785345717396,0.007190635451504557,-0.016286644951140183,-0.004653567735263819,0.03851851851851862,0.04604604604604612,,0.0334645669291338,0.014970059880239361,0.006721433905899632,-0.1343283582089554,0.14222222222222203,-0.006346967559943462,0.0043715846994532015,-0.04635121414982979,-0.02013025458851414,-0.02550177095631656,0.05538595726122986,0.049815498154981874
